How many people work in single office?	0
Do you use Agile?	1
Who founded your company?	0
What project management aproach will you advice?	1
What if I did't work with Agile?	1
Are there healthcare solutions in your portfolio?	0
What industries do you have experience in?	0
How your project managers work?	1
Are you familiar with Agile?	1
Have you created enterprise software?	0
What people started this company?	0
What’s your company culture like?	0
What do you do?	0
What services do you have?	0
Who created VOLO?	0
Are there Agile professionals in your company?	1
Can you help me to create a social network?	0
Which is your preferred project management method?	1
Have you worked on social networking projects?	0
Do you have experience in fintech?	0
I know Waterfall approach but don't know Agile.	1
Is this company develop software?	0
Is your company familiral with Agile?	1
Do you pay attention on company culture?	0
What method do you use for PM processes?	1
Where are your offices located?	0
Are there commodity related projects in your portfolio?	0
What company is this?	0
How many branches does VOLO have?	0
When was your organization founded? 	0
What does VOLO do?	0
Who are the founders of your company?	0
I know traditional mothods but don't know Agile, how can I learn Agile?	1
Will you help with Agile best practices?	1
Do you have a big portfolio?	0
What project management approach you have?	1
How can you help me with project management?	1
What can you do for me?	0
Are you specialised in enterprise solutions?	0
Do you maintain a healthy atmosphere in your offices?	0
Do you follow any project management methodology?	1
What if I don't know Agile?	1
What can VOLO do for us?	0
I need consultancy related Agile.	1
What industries are your clients from?	0
I have not worked with Agile before, what can I do?	1
Can you help with Agile processes setup?	1
How many apps have you developed?	0
Do you create enterprise applications?	0
Can you help me with Agile routines?	1
Have you created social networks?	0
When was VOLO founded?	0
Do you have Agile specialists?	1
Do you have experience in healthcare software?	0
What kind of projects have you done?	0
Do you have branches in US?	0
Can you create an application for hospitals?	0
How many clients did you have?	0
Are all your offices located in Armenia?	0
What kind of experience do you have in building software?	0
Are you a software development company?	0
Are you an IT company?	0
Can you create a healthcare platform?	0
What spheres are your clients from?	0
Can you develop a social network app?	0
Do you have experience in developing social networks?	0
Have you worked on medical projects?	0
What is the culture in VOLO officess?	0
Have you worked with Agile methodology before? 	1
Who old is your company?	0
Have you created trading applications?	0
Are there a lot of projects you worked on?	0
Do your project managers understand Agile?	1
Can you create a chating application?	0
What sphere do you work?	0
Is there a specific industry you focus on?	0
Have you developed applications for commodity traders?	0
When it was founded?	0
Who started this company?	0
Can you provide project managers with experience in Agile?	1
Do you do software development?	0
Have you been in this industry for long time?	0
Can you create payment systems?	0
Can you create an application like Facebook?	0
How many offices do you have?	0
Will you help me to setup Agile processes?	1
Are you familiar with fintech?	0
Do you provide Agile consulting?	1
When was your company created? 	0
What project management method are you using?	1
What do you mean by kitchens?	0
Do you know Agile?	1
What types of projects are you specialized?	0
Has your company created applications before?	0
And what about company culture?	0
How many projects have you completed?	0
Can you advice good Agile practices?	1
Will you be able to develop trading platform application?	0
What services do you provide to your clients?	0
What niches do you specialize in?	0
Are the social networking solutions in your portfolio?	0
What kind of organizations have you worked for?	0
Does your company have office in Armenia?	0
What if I know Waterfall but not familiar with Agile?	1
Have you worked with payment systems?	0
What can I do if my background is in more traditional methodologies?	1
Do you have experience in medical software?	0
Do you have big offices?	0
Have you developed applications before?	0
What industry your company works in?	0
Has VOLO created many apps?	0
What kind of companies do your clients have?	0
Who this office was founded by?	0
Have you worked on many projects?	0
When was your organization started? 	0
How do you deal with project management?	1
Are you working long in this industry?	0
Is there a VOLO branch in Europe?	0
Do you have offices in Europe?	0
Who created this company?	0
Does VOLO have office in United States?	0
Can you help me with Agile processes?	1
I am not familiar with Agile, can you help?	1
How will you do the project managment?	1
Can you develop payment processing software?	0
What do you offer?	0
Can you create a medical app for me?	0
What year your company was founded?	0
What is the preferred way of project management?	1
How can you help me?	0
How many years are you in industry?	0
What is the main thing your company do?	0
When was your company founded? 	0
Will you give advices on project management process?	1
Have you worked with Agile?	1
Do you have a branch in Ukraine?	0
Do you provide Agile process consulting?	1
Are the founders of VOLO Armenians?	0
Who were the people who created this company?	0
What services does your company provide?	0
Have you created healthcare applications?	0
Was this company founded by Armenians?	0
Can you create a trading platform?	0
